#ncbi_taxid	cluster_id	cluster_size	best_described_by
9606	CL:10469	21	Chondroitin sulfate biosynthesis
9606	CL:1047	11	mixed, incl. EF-hand, Ca insensitive, and p130Cas linkage to MAPK signaling for integrins
9606	CL:10470	14	dermatan sulfate biosynthetic process, and chondroitin sulfotransferase activity
9606	CL:10472	7	Defective CHST3 causes SEDCJD
9606	CL:1048	6	EF-hand, Ca insensitive, and Vinculin
9606	CL:10498	5	N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity
9606	CL:105	14203	cell
9606	CL:10510	7	Glycosyl transferase 64 domain, and Xylosyltransferase
9606	CL:10528	27	HS-GAG biosynthesis
9606	CL:10530	22	HS-GAG biosynthesis
9606	CL:10533	17	HS-GAG biosynthesis
9606	CL:10537	12	Defective EXT1 causes exostoses 1, TRPS2 and CHDS, and D-glucuronyl C5-epimerase C-terminus
9606	CL:10539	7	Defective EXT1 causes exostoses 1, TRPS2 and CHDS, and D-glucuronyl C5-epimerase C-terminus
9606	CL:1059	5	mixed, incl. Paxillin, and Breast cancer anti-estrogen resistance protein 1
9606	CL:10593	28	The activation of arylsulfatases, and Mucopolysaccharidoses
9606	CL:10595	18	The activation of arylsulfatases, and Mucopolysaccharidoses
9606	CL:10598	10	The activation of arylsulfatases
9606	CL:106	14056	cell
9606	CL:10602	5	The activation of arylsulfatases
9606	CL:10619	6	Mucopolysaccharidoses
9606	CL:10636	5	Catecholamine metabolism, and Sulfotransferase family
9606	CL:10648	6	mixed, incl. Protein NDRG3, and SLAP, SH2 domain
9606	CL:10660	5	mixed, incl. Sulfatase protein, and XK-related protein
9606	CL:10672	89	mixed, incl. Serine proteases, trypsin family, histidine active site, and serine-type endopeptidase inhibitor activity
9606	CL:10673	50	mixed, incl. Digestion, and Carboxypeptidase activation peptide
9606	CL:10674	42	mixed, incl. Digestion, and Carboxypeptidase activation peptide
9606	CL:10675	33	mixed, incl. Digestion, and Digestion of dietary lipid
9606	CL:10676	27	mixed, incl. Digestion, and Digestion of dietary lipid
9606	CL:10678	17	mixed, incl. Digestion of dietary lipid, and Carboxypeptidase activation peptide
9606	CL:1068	8	entry of bacterium into host cell, and Cortactin
9606	CL:10680	12	mixed, incl. Digestion of dietary lipid, and Carboxypeptidase activation peptide
9606	CL:10682	6	Carboxypeptidase activation peptide, and Digestion
9606	CL:107	13981	cell
9606	CL:10715	5	mixed, incl. Uncharacterised protein C6orf15, and cell wall disruption in other organism
9606	CL:10729	6	mixed, incl. Phosphotriesterase, and nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay
9606	CL:10741	6	mixed, incl. Muskelin N-terminus, and Domain of unknown function (DUF4636)
9606	CL:10757	8	mixed, incl. Acid sphingomyelinase-like phosphodiesterase, predicted, and Fin bud initiation factor
9606	CL:10772	39	serine-type endopeptidase inhibitor activity, and Trypsin-like peptidase domain
9606	CL:10774	19	mixed, incl. negative regulation of serine-type endopeptidase activity, and positive regulation of antibacterial peptide production
9606	CL:10775	12	mixed, incl. negative regulation of serine-type endopeptidase activity, and keratohyalin granule
9606	CL:10777	5	epidermal lamellar body, and Proteinase inhibitor I1, Kazal-type, metazoa
9606	CL:10789	5	mixed, incl. negative regulation of serine-type endopeptidase activity, and insemination
9606	CL:10798	7	mixed, incl. Zinc finger protein GLIS1, and Seminal vesicle autoantigen (SVA)
9606	CL:108	13954	cell
9606	CL:10814	18	mixed, incl. Four-disulfide core domains, and Semenogelin
9606	CL:10815	11	Four-disulfide core domains, and Protein WFDC9/WFDC11
9606	CL:10817	5	mixed, incl. Protein WFDC9/WFDC11, and aspartic-type endopeptidase inhibitor activity
9606	CL:1083	39	mixed, incl. Laminin interactions, and p21 activated kinase binding domain
9606	CL:10837	5	negative regulation of flagellated sperm motility, and antibacterial peptide production
9606	CL:1084	29	Laminin interactions, and p21 activated kinase binding domain
9606	CL:1085	17	mixed, incl. Laminin IV, and Dystrophin/utrophin
9606	CL:10850	14	mixed, incl. Hyaluronan biosynthesis and export, and Hyaluronidase
9606	CL:10852	7	Hyaluronan biosynthesis and export, and Hyaluronidase
9606	CL:1086	12	Laminin IV, and G2 nidogen domain and fibulin
9606	CL:10866	6	mixed, incl. Coiled-coil domain-containing protein 186, and Slowmo/Ups family
9606	CL:10878	86	Post-translational modification: synthesis of GPI-anchored proteins, and Sperm:Oocyte Membrane Binding
9606	CL:10879	72	Post-translational modification: synthesis of GPI-anchored proteins
9606	CL:1088	7	laminin complex, and G2 nidogen domain and fibulin
9606	CL:10880	66	Post-translational modification: synthesis of GPI-anchored proteins
9606	CL:10883	59	Post-translational modification: synthesis of GPI-anchored proteins
9606	CL:10885	54	Post-translational modification: synthesis of GPI-anchored proteins
9606	CL:10887	49	Post-translational modification: synthesis of GPI-anchored proteins
9606	CL:10888	30	Post-translational modification: synthesis of GPI-anchored proteins
9606	CL:10891	11	Post-translational modification: synthesis of GPI-anchored proteins
9606	CL:10893	6	mixed, incl. Thy-1 membrane glycoprotein, and Neuritin family
9606	CL:109	13849	cell
9606	CL:10920	12	u-PAR/Ly-6 domain, and Lymphocyte antigen 6 complex locus protein G6d/G6f
9606	CL:10923	7	u-PAR/Ly-6 domain
9606	CL:10948	17	Post-translational modification: synthesis of GPI-anchored proteins
9606	CL:10949	11	mixed, incl. pantetheine hydrolase activity, and Testisin
9606	CL:10951	6	mixed, incl. Folate receptor beta, and integral component of external side of plasma membrane
9606	CL:10970	6	mixed, incl. Alkaline phosphatase, and Otoancorin
9606	CL:11	19343	cell
9606	CL:110	13763	cell
9606	CL:11011	6	Sperm:Oocyte Membrane Binding
9606	CL:11022	14	mixed, incl. acetylcholine receptor regulator activity, and Ly-6 antigen / uPA receptor -like domain
9606	CL:11024	7	mixed, incl. Phospholipase A2 inhibitor, and acetylcholine receptor regulator activity
9606	CL:11049	22	mixed, incl. TNFs bind their physiological receptors, and reduction of food intake in response to dietary excess
9606	CL:11050	14	mixed, incl. salivary gland cavitation, and Protein reprimo
9606	CL:11051	8	mixed, incl. salivary gland cavitation, and Target of Myb protein 1
9606	CL:11066	6	mixed, incl. Protein reprimo, and Unstructured on SH3 and cysteine-rich domain-containing protein 2
9606	CL:11077	8	mixed, incl. reduction of food intake in response to dietary excess, and Protein NDRG4
9606	CL:1109	5	Dystrophin/utrophin, and nerve maturation
9606	CL:11092	4953	protein-containing complex, and Phosphoprotein
9606	CL:11093	3593	nuclear part, and translation
9606	CL:11094	3555	nuclear lumen, and translation
9606	CL:11095	3504	nuclear lumen, and translation
9606	CL:11096	3492	nuclear lumen, and translation
9606	CL:11097	3477	nuclear lumen, and translation
9606	CL:11098	3413	nuclear lumen, and translation
9606	CL:11099	3380	nuclear lumen, and translation
9606	CL:111	13692	cell
9606	CL:11100	3334	nuclear lumen, and translation
9606	CL:11101	3290	nuclear lumen, and translation
9606	CL:11102	3268	nuclear lumen, and translation
9606	CL:11103	1721	mixed, incl. chromosome organization, and protein modification by small protein conjugation or removal
9606	CL:11104	995	chromosome organization, and DNA damage
9606	CL:11105	529	chromatin organization, and PPARA activates gene expression
9606	CL:11106	427	chromatin organization, and RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known
9606	CL:11107	422	chromatin organization, and RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known
9606	CL:11108	414	chromatin organization, and RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known
9606	CL:11109	406	chromatin organization, and RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known
9606	CL:11110	395	chromatin organization, and RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known
9606	CL:11111	304	chromatin organization, and RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known
9606	CL:11112	297	chromatin organization, and RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known
9606	CL:11113	292	chromatin organization, and RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known
9606	CL:11114	258	nucleosome, and histone modification
9606	CL:11115	198	nucleosome, and histone deacetylase complex
9606	CL:11116	192	nucleosome, and histone deacetylase complex
9606	CL:11117	160	nucleosome, and histone deacetylase complex
9606	CL:11118	111	nucleosome, and Enhancer of polycomb-like
9606	CL:11119	100	nucleosome
9606	CL:11122	82	nucleosome
9606	CL:11125	76	nucleosome
9606	CL:11127	47	chromatin silencing at rDNA, and Histone 2A
9606	CL:11128	32	nuclear nucleosome
9606	CL:11133	25	DNA replication-dependent nucleosome assembly
9606	CL:11135	19	DNA replication-dependent nucleosome assembly
9606	CL:11136	11	DNA replication-dependent nucleosome assembly
9606	CL:11139	6	DNA replication-dependent nucleosome assembly
9606	CL:11158	6	Histone H4, and telomeric heterochromatin assembly
9606	CL:1118	12	mixed, incl. p21 activated kinase binding domain, and GIT, Spa2 homology (SHD) domain
9606	CL:11192	14	Histone-like transcription factor (CBF/NF-Y) and archaeal histone, and Histone H3
9606	CL:11194	6	Histone H3, and C-terminus of histone H2A
9606	CL:112	13407	cell
9606	CL:11208	6	Histone H2B, and C-terminus of histone H2A
9606	CL:1121	5	CD28 dependent Vav1 pathway, and Rho guanine nucleotide exchange factor 7, SH3 domain
9606	CL:11223	27	Histone H2A/H2B/H3
9606	CL:11226	21	Histone H2A/H2B/H3
9606	CL:11227	11	Histone H2A conserved site, and Histone H2B
9606	CL:11229	5	Histone H2A conserved site
9606	CL:11249	6	Histone H2B, and Histone H2A conserved site
9606	CL:11291	14	Formation of Senescence-Associated Heterochromatin Foci (SAHF), and HMG box A DNA-binding domain, conserved site
9606	CL:11294	5	Formation of Senescence-Associated Heterochromatin Foci (SAHF)
9606	CL:113	13251	cell
9606	CL:11307	6	linker histone H1 and H5 family, and HMG box A DNA-binding domain, conserved site
9606	CL:11318	11	MOZ/MORF histone acetyltransferase complex, and histone H4-K12 acetylation
9606	CL:11320	5	histone H4-K12 acetylation
9606	CL:11330	5	MOZ/MORF histone acetyltransferase complex
9606	CL:11339	49	histone deacetylase complex, and Regulation of PTEN gene transcription
9606	CL:11340	25	histone deacetylase complex
9606	CL:11342	19	Sin3-type complex, and Histone deacetylase domain
9606	CL:11343	10	Histone deacetylase domain, and Sin3 complex
9606	CL:11346	5	Histone deacetylase domain, and Mortality factor 4-like protein 1
9606	CL:11364	6	Sin3-type complex, and AT-rich interactive domain-containing protein 4B
9606	CL:11390	22	NuRD complex, and Regulation of PTEN gene transcription
9606	CL:11392	12	NuRD complex
9606	CL:11395	6	NuRD complex
9606	CL:114	13152	cell
9606	CL:1141	10	Type I hemidesmosome assembly
9606	CL:11419	6	mixed, incl. Atrophin-1, and Histone lysine-specific demethylase
9606	CL:1143	5	hemidesmosome
9606	CL:11436	32	mixed, incl. histone H3-K4 methylation, and rhombomere development
9606	CL:11437	19	mixed, incl. Set1C/COMPASS complex, and Methyltransferase, trithorax
9606	CL:11438	11	Set1C/COMPASS complex, and Menin
9606	CL:11440	6	Set1C/COMPASS complex
9606	CL:11460	5	gene looping, and core-binding factor complex
9606	CL:11475	11	mixed, incl. MLL3/4 complex, and rhombomere 4 development
9606	CL:11478	5	MLL3/4 complex
9606	CL:11499	6	NET domain, and RUNX3 regulates RUNX1-mediated transcription
9606	CL:115	13082	cell
9606	CL:11510	60	PcG protein complex, and negative regulation of G0 to G1 transition
9606	CL:11512	47	PcG protein complex, and Transcriptional Regulation by E2F6
9606	CL:11513	39	PcG protein complex, and WNT mediated activation of DVL
9606	CL:11514	30	PcG protein complex
9606	CL:11515	25	PcG protein complex
9606	CL:11516	16	PRC1 complex, and Histone-lysine N-methyltransferase EZH1
9606	CL:11520	11	PRC1 complex
9606	CL:11523	5	PRC1 complex
9606	CL:11551	5	ESC/E(Z) complex
9606	CL:11564	5	BCORL-PCGF1-binding domain, and negative regulation of mitotic cell cycle DNA replication
9606	CL:11575	5	Yaf2/RYBP C-terminal binding motif, and E3 ubiquitin-protein ligase RING1
9606	CL:11591	6	mixed, incl. histone methyltransferase activity (H3-K27 specific), and Transcription factor E2F6
9606	CL:116	13010	cell
9606	CL:1160	5	Filamin/ABP280 repeat, and FAM101 family
9606	CL:11610	10	mixed, incl. PR-DUB complex, and Methyl-CpG-binding domain protein 5/6
9606	CL:11612	5	mixed, incl. ASX-like protein 2, and Host cell factor 1
9606	CL:11629	34	JmjC domain, and SET domain
9606	CL:11632	17	JmjC domain
9606	CL:11634	10	histone demethylase activity (H3-K9 specific), and AWS domain
9606	CL:11635	5	histone demethylase activity (H3-K9 specific)
9606	CL:11644	5	AWS domain, and PHD-finger
9606	CL:11656	5	Cupin superfamily protein, and jmjN domain
9606	CL:11671	13	SET domain, and SAM domain binding
9606	CL:11673	7	mixed, incl. histone methyltransferase activity (H4-K20 specific), and SAM domain binding
9606	CL:11696	5	mixed, incl. Inhibitor of growth protein 1, and progesterone receptor binding
9606	CL:117	12945	cell
9606	CL:1170	11	Cell-extracellular matrix interactions, and Nck2, SH2 domain
9606	CL:11706	5	Genetic suppressor element-like, and negative regulation of protein sumoylation
9606	CL:11718	91	SWI/SNF superfamily-type complex, and H4 histone acetyltransferase complex
9606	CL:11720	47	INO80-type complex, and H4 histone acetyltransferase complex
9606	CL:11721	40	INO80-type complex, and H4 histone acetyltransferase complex
9606	CL:11722	23	H4 histone acetyltransferase complex
9606	CL:11724	17	NuA4 histone acetyltransferase complex, and MSL complex
9606	CL:11726	12	NuA4 histone acetyltransferase complex
9606	CL:11728	6	Swr1 complex, and Vps72/YL1 family
9606	CL:1174	5	Parvin, and Integrin-linked protein kinase, pseudokinase domain
9606	CL:11767	17	Ino80 complex, and Actin-related protein 6
9606	CL:11771	10	Ino80 complex
9606	CL:11775	5	RuvB-like, and DNA helicase Ino80
9606	CL:118	12872	cell
9606	CL:11801	5	histone H4-K16 acetylation
9606	CL:11820	40	mixed, incl. nBAF complex, and ISWI-type complex
9606	CL:11822	35	nBAF complex, and ISWI-type complex
9606	CL:11825	24	nBAF complex, and BCL7, N-terminal conserver region
9606	CL:11827	18	SWI/SNF complex, and PHD finger protein 10
9606	CL:11830	11	SWI/SNF complex
9606	CL:11832	5	nBAF complex
9606	CL:11842	5	SWI/SNF complex
9606	CL:11853	5	mixed, incl. Zinc finger protein DPF3, and Protein polybromo-1, Bromodomain 5
9606	CL:11879	6	ISWI-type complex
9606	CL:11899	11	chromatin silencing complex, and E3 ubiquitin-protein ligase RNF152
9606	CL:119	12811	cell
9606	CL:11901	6	chromatin silencing complex
9606	CL:11921	5	mixed, incl. RACK7, Bromo domain, and GATA zinc finger domain-containing protein 1
9606	CL:11936	5	ARF7 effector protein C-terminus, and Histone-lysine N-methyltransferase SETDB1
9606	CL:1194	5	mixed, incl. Leupaxin, and Protein-tyrosine kinase 2-beta
9606	CL:11950	5	mixed, incl. ERCC3/RAD25/XPB C-terminal helicase, and Domain of unknown function DUF4208
9606	CL:11959	102	Transcriptional regulation of white adipocyte differentiation, and Zinc finger, C4 type (two domains)
9606	CL:11960	97	Transcriptional regulation of white adipocyte differentiation, and Zinc finger, C4 type (two domains)
9606	CL:11961	87	Transcriptional regulation of white adipocyte differentiation, and Zinc finger, C4 type (two domains)
9606	CL:11962	75	Transcriptional regulation of white adipocyte differentiation, and retinoic acid receptor signaling pathway
9606	CL:11964	39	mediator complex, and peroxisome proliferator activated receptor signaling pathway
9606	CL:11966	34	mediator complex
9606	CL:11968	29	mediator complex
9606	CL:11971	24	mediator complex
9606	CL:11973	13	mediator complex
9606	CL:11974	7	core mediator complex, and Mediator complex, subunit Med7/Med21-like
9606	CL:11987	6	mediator complex
9606	CL:120	12732	cell
9606	CL:12002	8	mediator complex
9606	CL:1203	16	mixed, incl. Matrilin, coiled-coil domain superfamily, and Epiphycan
9606	CL:12049	28	mixed, incl. Loss of MECP2 binding ability to the NCoR/SMRT complex, and retinoic acid receptor signaling pathway
9606	CL:12050	18	Loss of MECP2 binding ability to the NCoR/SMRT complex, and retinoic acid receptor signaling pathway
9606	CL:12053	6	Loss of MECP2 binding ability to the NCoR/SMRT complex
9606	CL:1206	10	mixed, incl. Matrilin, coiled-coil domain superfamily, and Secreted frizzled-related protein 3
9606	CL:12071	6	Retinoic acid receptor, and Retinoid X receptor/HNF4
9606	CL:1208	5	Matrilin, coiled-coil domain superfamily, and negative regulation of bone trabecula formation
9606	CL:12089	6	RORA activates gene expression
9606	CL:121	12650	cell
9606	CL:12111	12	mixed, incl. P-type trefoil, chordata, and estrogen response element binding
9606	CL:12113	5	P-type trefoil, chordata, and Oestrogen receptor
9606	CL:12135	6	Negative regulation of activity of TFAP2 (AP-2) family transcription factors
9606	CL:12153	5	mixed, incl. ARHGAP12, SH3 domain, and Mediator complex, subunit Med12
9606	CL:12162	466	Cell Cycle, and DNA repair
9606	CL:12163	441	Cell Cycle, and DNA repair
9606	CL:12164	434	Cell Cycle, and DNA repair
9606	CL:12165	220	mixed, incl. chromosome, centromeric region, and Cell cycle
9606	CL:12166	154	Resolution of Sister Chromatid Cohesion, and nuclear chromosome segregation
9606	CL:12167	123	mixed, incl. Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal, and chromosome condensation
9606	CL:12170	116	mixed, incl. Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal, and chromosome condensation
9606	CL:12173	110	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal, and chromosome condensation
9606	CL:12174	62	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
9606	CL:12176	56	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
9606	CL:12178	32	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
9606	CL:12181	23	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
9606	CL:12183	12	kinetochore microtubule, and condensed chromosome outer kinetochore
9606	CL:12186	7	mixed, incl. Mad3/BUB1 homology region 1, and HEC/Ndc80p family
9606	CL:122	12613	cell
9606	CL:12212	5	MIS12/MIND type complex, and ZW10 interactor
9606	CL:12230	6	mixed, incl. NUDE domain, and LIS1, N-terminal
9606	CL:12249	19	CENP-A containing nucleosome assembly
9606	CL:12251	12	CENP-A containing nucleosome assembly
9606	CL:12253	5	mixed, incl. Centromere protein P, and Centromere protein U
9606	CL:123	12528	cell
9606	CL:12300	44	mixed, incl. chromosome condensation, and mitotic cytokinesis
9606	CL:12302	35	mixed, incl. mitotic cytokinesis, and G2/M DNA replication checkpoint
9606	CL:12305	30	mixed, incl. mitotic cytokinesis, and G2/M DNA replication checkpoint
9606	CL:12306	24	mixed, incl. mitotic cytokinesis, and chromosome passenger complex
9606	CL:12307	16	mixed, incl. centralspindlin complex, and chromosome passenger complex
9606	CL:12309	5	chromosome passenger complex, and Inner centromere protein
9606	CL:12325	5	mixed, incl. Kinesin-like protein KIF23, and Protein regulator of cytokinesis 1
9606	CL:12338	8	mixed, incl. K167/Chmadrin repeat, and PCNA-associated factor
9606	CL:1235	33	O-glycosylation of TSR domain-containing proteins
9606	CL:12354	5	G2/M DNA replication checkpoint
9606	CL:12373	5	condensin complex
9606	CL:1238	26	O-glycosylation of TSR domain-containing proteins
9606	CL:124	10437	cellular process
9606	CL:1240	20	ADAM-TS Spacer 1, and Fucose metabolism
9606	CL:12413	30	mixed, incl. Cohesin Loading onto Chromatin, and Smc5-Smc6 complex
9606	CL:12414	22	Cohesin Loading onto Chromatin, and synaptonemal complex assembly
9606	CL:12415	13	Cohesin Loading onto Chromatin, and nuclear meiotic cohesin complex
9606	CL:12418	6	Cohesin Loading onto Chromatin
9606	CL:1242	15	PLAC (protease and lacunin) domain, and GON domain
9606	CL:12441	7	central element, and Synaptonemal complex protein 2
9606	CL:1245	10	PLAC (protease and lacunin) domain, and Fucose metabolism
9606	CL:12460	5	Smc5-Smc6 complex
9606	CL:1247	5	PLAC (protease and lacunin) domain, and peptide-O-fucosyltransferase activity
9606	CL:12473	66	mixed, incl. Cyclin D associated events in G1, and G0 and Early G1
9606	CL:12474	55	Cyclin D associated events in G1, and Polo-like kinase mediated events
9606	CL:12477	45	Cyclin D associated events in G1, and Polo-like kinase mediated events
9606	CL:12479	35	Cyclin D associated events in G1, and TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest
9606	CL:12481	29	Cyclin D associated events in G1, and Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes
9606	CL:12482	24	Cyclin D associated events in G1, and Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes
9606	CL:12484	18	Cyclin D associated events in G1, and cyclin E1-CDK2 complex
9606	CL:12485	10	mixed, incl. cyclin E1-CDK2 complex, and Cyclin-dependent kinase inhibitor
9606	CL:12487	5	cyclin E1-CDK2 complex, and Cyclin-dependent kinase inhibitor 1, vertebrate
9606	CL:125	5484	response to stimulus, and Signal
9606	CL:12506	5	Rb-E2F complex, and PTK6 Regulates Cell Cycle
9606	CL:12529	5	E2F-DP heterodimerization region
9606	CL:12539	5	M-phase inducer phosphatase, and UME domain
9606	CL:12554	6	Polo-like kinase mediated events
9606	CL:12571	5	cytoplasmic cyclin-dependent protein kinase holoenzyme complex, and Cyclin
9606	CL:12583	11	mixed, incl. First polo-box domain, and Dual specificity protein phosphatase, N-terminal half
9606	CL:12585	6	mixed, incl. Dual specificity protein phosphatase, N-terminal half, and Second polo-box domain
9606	CL:126	5462	response to stimulus, and Signal
9606	CL:12604	214	DNA Repair, and DNA replication initiation
9606	CL:12605	184	DNA replication, and interstrand cross-link repair
9606	CL:12606	152	DNA-dependent DNA replication, and Fanconi anemia pathway
9606	CL:12607	97	Fanconi anemia pathway, and Homologous DNA Pairing and Strand Exchange
9606	CL:12608	87	Fanconi anemia pathway, and Homologous DNA Pairing and Strand Exchange
9606	CL:12610	74	Fanconi anemia pathway, and Homologous DNA Pairing and Strand Exchange
9606	CL:12611	45	Homologous DNA Pairing and Strand Exchange, and DNA recombinase assembly
9606	CL:12612	35	Homologous DNA Pairing and Strand Exchange, and four-way junction DNA binding
9606	CL:12613	30	Homologous DNA Pairing and Strand Exchange
9606	CL:12615	21	HDR through Single Strand Annealing (SSA)
9606	CL:12616	15	HDR through Single Strand Annealing (SSA)
9606	CL:12618	6	mixed, incl. DNA replication factor A complex, and Rad52 family
9606	CL:12636	5	exodeoxyribonuclease III activity, and Hus1-like protein
9606	CL:12645	6	DNA replication factor C complex
9606	CL:12660	5	BRCA1-BARD1 complex, and Tower
9606	CL:12672	5	mixed, incl. Claspin, and Timeless protein
9606	CL:12683	6	Rad51B-Rad51C-Rad51D-XRCC2 complex
9606	CL:127	4794	cell communication, and anatomical structure development
9606	CL:12701	27	Fanconi Anemia Pathway
9606	CL:12703	16	Fanconi anaemia nuclear complex, and FANCI solenoid 1
9606	CL:12706	11	Fanconi anaemia nuclear complex
9606	CL:12708	6	Fanconi anaemia nuclear complex
9606	CL:12738	6	ERCC4 domain
9606	CL:12760	11	mixed, incl. mismatched DNA binding, and Mnd1 family
9606	CL:12763	5	recombination nodule, and DNA mismatch repair protein Mlh3
9606	CL:12781	10	UmuC domain, and zeta DNA polymerase complex
9606	CL:12785	5	UmuC domain, and zeta DNA polymerase complex
9606	CL:128	3498	cell communication, and anatomical structure development
9606	CL:12801	51	Activation of the pre-replicative complex, and Processive synthesis on the C-strand of the telomere
9606	CL:12803	44	Activation of the pre-replicative complex, and Processive synthesis on the C-strand of the telomere
9606	CL:12804	28	DNA replication initiation, and DNA replication preinitiation complex assembly
9606	CL:12805	21	Activation of the pre-replicative complex
9606	CL:12807	13	nuclear origin of replication recognition complex, and MCM N-terminal domain
9606	CL:12810	5	Assembly of the ORC complex at the origin of replication
9606	CL:12835	6	Magnesium chelatase, subunit ChlI
